key,wine_raw,vintage,format_ml,price,source,source_type,note
abadia retuerta rivola|1997|750,Abadia Retuerta Rívola,1997,750,20,Estimate - no price found in search,estimate,Search returned no dollar figure (Rivola bottling is discontinued; snippet WS listing was for Seleccion Especial instead). Estimated from typical entry-level Spanish Tempranillo/Cabernet blend pricing for an aged basic-tier wine.
aia vecchia sor ugo|2019|750,Aia Vecchia Sor Ugo,2019,750,38,Estimate - no price found in search,estimate,Search returned tasting notes and a 93pt Vinous score but no dollar figure. Estimated from typical US retail range for Bolgheri Super Tuscan blends of this quality tier.
alain graillot crozes hermitage|2015|750,Alain Graillot Crozes-Hermitage,2015,750,41,"Wine-Searcher average retail, vintage-specific",ws_vintage,
alain graillot crozes hermitage|2017|1500,Alain Graillot Crozes-Hermitage,2017,1500,103.4,"Wine-Searcher average retail, vintage-specific (750ml, scaled to magnum)",ws_vintage,Scaled from 750ml Wine-Searcher average price of $47 (2017 vintage) x2.2 magnum premium factor = $103.40.
albert boxler pinot gris sommerberg|2017|750,Albert Boxler Pinot Gris Sommerberg,2017,750,80,"Wine-Searcher average retail, vintage-specific",ws_vintage,
albert boxler riesling reserve|2017|750,Albert Boxler Riesling Reserve,2017,750,57,"Single retailer listing (~$57), no Wine-Searcher average in snippet",ws_single_retailer,
albino rocca barbaresco vigneto brich ronchi|2017|750,Albino Rocca Barbaresco Vigneto Brich Ronchi,2017,750,64,"Wine-Searcher average retail, vintage-specific",ws_vintage,
allegrini la grola classico superiore|1995|750,Allegrini La Grola Classico Superiore,1995,750,30,Estimate - no price found in search,estimate,"Search returned only an 89pt critic score, no dollar figure. Estimated from typical modern La Grola retail pricing (~$20-25) plus a scarcity premium for the 1995 vintage."
ampeleia rosato di ampeleia|2021|750,Ampeleia Rosato di Ampeleia,2021,750,24,"Wine-Searcher average retail, vintage-specific",ws_vintage,
andre clouet brut nature silver|NV|750,Andre Clouet Brut Nature Silver,NV,750,52,Wine-Searcher average retail,ws_vintage,"Non-vintage Champagne; price reflects current-release average, not a specific vintage."
antoine ogier lirac lou camine|2018|750,Antoine Ogier Lirac Lou Caminé,2018,750,22,Estimate - no price found in search,estimate,"Search returned tasting notes and 90pt scores (WA, WE) but no dollar figure. Estimated from typical US retail range for Southern Rhône Lirac reds of this quality tier."
antoniolo gattinara san francesco riserva|2015|750,Antoniolo Gattinara San Francesco Riserva,2015,750,70,Estimate - no price found in search,estimate,Search returned a 96pt Wine Spectator score but no dollar figure. Estimated from typical pricing for single-vineyard Gattinara riserva Nebbiolo.
