id,vintage,wine,format,Region,Quantity,Reserve,Condition Issue,country,dessert_hit,bare_pt,shipper_hit,producer_id_drop,cond_decision,wine_type,classify_reason,country_code
10890343,2009,Albert Bichot Mazis-Chambertin,750ml,"France, Burgundy, Côte d'Or",3,115,,France,False,False,False,False,keep,Red,pass2: Chambertin grand cru family is red-only,FR
10890342,2009,Albert Bichot Mazis-Chambertin,750ml,"France, Burgundy, Côte d'Or",2,115,Light label condition issue,France,False,False,False,False,keep,Red,pass2: Chambertin grand cru family is red-only,FR
10895456,2015,Albert Morot Beaune Les Bressandes,750ml,"France, Burgundy, Côte d'Or",1,55,,France,False,False,False,False,keep,Red,pass2: bare Beaune premier cru (no Blanc stated) -- predominantly red,FR
10895459,1990,Albino Rocca Barbaresco Vigneto Brich Ronchi,750ml,"Italy, Piedmont, Barbaresco",1,90,Light label condition issue,Italy,False,False,False,False,keep,Red,pass2: Barbaresco is a 100% red Nebbiolo DOCG,IT
10896357,2018,Aldo Conterno Langhe Il Favot Nebbiolo,750ml,"Italy, Piedmont, Langhe",4,35,,Italy,False,False,False,False,keep,Red,"pass2: Elio Grasso Langhe bottling -- red-focused producer, no colour word present (hedged)",IT
10895908,2021,Alphonse Mellot Sancerre Les Romains,750ml,"France, Loire Valley, Centre-Loire",2,45,,France,False,False,False,False,keep,White,white appellation default,FR
10896068,2019,Andre Brunel Châteauneuf-du-Pape,750ml,"France, Rhône Valley, Southern Rhône",1,25,,France,False,False,False,False,keep,Red,pass2: bare Chateauneuf-du-Pape (no Blanc stated) -- predominantly red,FR
10895693,2021,Andre Brunel Châteauneuf-du-Pape Cuvée Réservée,750ml,"France, Rhône Valley, Southern Rhône",1,35,,France,False,False,False,False,keep,Red,pass2: bare Chateauneuf-du-Pape (no Blanc stated) -- predominantly red,FR
10896176,2019,Argiano Brunello di Montalcino,750ml,"Italy, Tuscany, Brunello di Montalcino",1,75,,Italy,False,False,False,False,keep,Red,red appellation default,IT
10895521,2004,Artadi Rioja Pagos Viejos,750ml,"Spain, Rioja",5,140,Very top shoulder fill,Spain,False,False,False,False,keep,Red,red appellation default,ES
10895520,2004,Artadi Rioja Pagos Viejos,750ml,"Spain, Rioja",3,140,Base neck fill,Spain,False,False,False,False,keep,Red,red appellation default,ES
10896179,2018,Au Pied du Mont Chauve Chassagne-Montrachet  Les Macherelles,750ml,"France, Burgundy, Côte d'Or",1,90,Light label condition issue,France,False,False,False,False,keep,White,"pass6 manual: Les Macherelles is a white climat (same call as Guy Amiot) -- hedged, moderate confidence",FR
10896178,2023,Au Pied du Mont Chauve Chassagne-Montrachet En Pimont,750ml,"France, Burgundy, Côte d'Or",1,80,Light label condition issue,France,False,False,False,False,keep,White,"pass6 manual: Au Pied du Mont Chauve is a white-focused Chassagne estate -- hedged, moderate confidence",FR
10895943,2021,Bacci Dimarco,750ml,"Italy, Tuscany",4,25,,Italy,False,False,False,False,keep,Red,"pass6 manual: Tuscan label with no colour word -- hedged to red (Tuscany is overwhelmingly red), low confidence",IT
10896233,2021,Bacci Dimarco,750ml,"Italy, Tuscany",1,25,Light label condition issue,Italy,False,False,False,False,keep,Red,"pass6 manual: Tuscan label with no colour word -- hedged to red (Tuscany is overwhelmingly red), low confidence",IT
10889604,NV,Barons de Rothschild Blanc de Blancs,750ml,"France, Champagne",1,70,,France,False,False,False,False,keep,Sparkling,sparkling keyword,FR
10896118,2012,Benjamin Rothschild & Vega Sicilia Rioja Macan,750ml,"Spain, Rioja",1,70,,Spain,False,False,False,False,keep,Red,red appellation default,ES
10896031,2020,Benjamin Rothschild & Vega Sicilia Rioja Macan,750ml,"Spain, Rioja",2,80,Light label condition issue,Spain,False,False,False,False,keep,Red,red appellation default,ES
10896255,2020,Benjamin Rothschild & Vega Sicilia Rioja Macan,750ml,"Spain, Rioja",2,80,,Spain,False,False,False,False,keep,Red,red appellation default,ES
10895752,2015,Bertani Amarone della Valpolicella Classico,750ml,"Italy, Veneto, Amarone della Valpolicella",3,100,Light label condition issue,Italy,False,False,False,False,keep,Red,"pass2: Amarone/Ripasso are red, dried-grape Corvina-based",IT
10895980,NV,Bertrand Senecourt Beau Joie Brut Nature Special Cuvee,750ml,"France, Champagne",1,35,,France,False,False,False,False,keep,Sparkling,sparkling keyword,FR
10895939,NV,Bertrand Senecourt Beau Joie Special Cuvee Brut,750ml,"France, Champagne",2,35,,France,False,False,False,False,keep,Sparkling,sparkling keyword,FR
10896363,2010,Billecart-Salmon Brut Rosé,750ml,"France, Champagne",5,100,,France,False,False,False,False,keep,Sparkling,sparkling keyword,FR
10895574,2007,Bodegas El Nido El Nido,750ml,"Spain, The Levant, Jumilla",3,130,,Spain,False,False,False,False,keep,Red,pass6 manual: Jumilla Monastrell/Cabernet flagship red,ES
10895946,2023,Bodegas El Nido El Nido,750ml,"Spain, The Levant, Jumilla",1,120,Light label condition issue,Spain,False,False,False,False,keep,Red,pass6 manual: Jumilla Monastrell/Cabernet flagship red,ES
10896014,2023,Bodegas El Nido El Nido,750ml,"Spain, The Levant, Jumilla",1,120,,Spain,False,False,False,False,keep,Red,pass6 manual: Jumilla Monastrell/Cabernet flagship red,ES
10895868,2018,Bodegas Morca Garnaca Touran,750ml,"Spain, Aragon, Campo De Borja",1,80,"Light capsule condition issue
Light label condition issue",Spain,False,False,False,False,keep,Red,pass6 manual: Garnacha from Campo de Borja -- red,ES
10895870,2011,Bodegas Muga Rioja Prado Enea Gran Reserva,750ml,"Spain, Rioja",2,90,Light label condition issue,Spain,False,False,False,False,keep,Red,red appellation default,ES
10896412,2015,Bodegas Muga Rioja Prado Enea Gran Reserva,750ml,"Spain, Rioja",5,110,,Spain,False,False,False,False,keep,Red,red appellation default,ES
10896448,2018,Bodegas Muga Rioja Reserva Selection Especial,750ml,"Spain, Rioja",1,50,,Spain,False,False,False,False,keep,Red,red appellation default,ES
10896413,2018,Bodegas Muga Rioja Seleccion Especial,750ml,"Spain, Rioja",2,40,,Spain,False,False,False,False,keep,Red,red appellation default,ES
10896104,2020,Bodegas Muga Rioja Torre Muga,750ml,"Spain, Rioja",1,85,,Spain,False,False,False,False,keep,Red,red appellation default,ES
10895668,2020,Bodegas Pintia Toro Pintia,750ml,"Spain, Castilla-Leon, Toro",2,90,,Spain,False,False,False,False,keep,Red,pass2: Toro (Spain) is essentially all red Tinta de Toro,ES
10896214,2020,Bodegas Pintia Toro Pintia,750ml,"Spain, Castilla-Leon, Toro",1,90,Light label condition issue,Spain,False,False,False,False,keep,Red,pass2: Toro (Spain) is essentially all red Tinta de Toro,ES
